31.57,-85.25,-0.9585
34.22,-87.18,0.0206
34.42,-87.32,-1.1733
32.23,-87.42,-0.3331
34.25,-86.22,-0.8313
32.95,-85.95,-0.8404
32.98,-85.87,-0.6592
33.13,-88.13,-0.2739
33.23,-88.28,-0.2802
31.32,-86.5,0.1978
33.58,-85.85,-0.5272
34.07,-87.22,-0.2671
33.27,-85.83,-0.5993
33.83,-86.27,-0.3889
34.8,-86.98,-1.2012
31.17,-87.48,0.1629
31.02,-87.52,0.166
32.6,-85.5,-1.3027
32.47,-86.68,-0.7919
33.45,-87.35,-0.1327
30.88,-87.78,0.2624
31.73,-87.22,-0.132
34.47,-87.87,-0.8348
34.7,-86.88,-0.749
33.35,-86.97,-0.198
33.4,-87,-0.0164
32.67,-86.72,-1.0204
33.47,-86.83,0.01
33.57,-86.75,0.0747
34.65,-88.12,-0.8588
34.22,-86.17,-0.3711
31.58,-86.27,0.4932
31.12,-87.03,0.3334
31.07,-87.05,0.2087
34.93,-85.73,0.2932
33.27,-87.28,-0.2429
31.72,-85.82,-0.1322
33.45,-86.72,0.1067
33.1,-86.75,-0.2041
32.03,-87.32,-0.0948
32.83,-85.68,-0.7119
33.9,-87.53,-0.52
34.38,-86.63,-0.2306
34.15,-85.68,-0.6181
32.95,-87.13,-0.3792
32.9,-87.25,-0.6031
31.47,-88.25,-0.2865
33.28,-86.37,-0.2169
33.28,-86.33,-0.2182
31.08,-88.23,-0.2002
31.53,-87.52,-0.1355
32.85,-86.63,-0.6651
31.87,-85.45,0.2433
30.38,-88.22,0.3452
31.17,-85.92,0.6075
31.77,-88.13,-0.6149
34.25,-85.87,-0.6699
31.3,-85.12,0.5195
33.77,-87.18,-0.4563
32.15,-85.07,-0.0874
32.43,-88.38,0.2038
32.83,-85.75,-0.5981
32.83,-85.77,-1.1238
33,-88.28,-0.6865
34.42,-87.07,-0.878
30.25,-88.08,0.2157
32.35,-87.65,-0.1341
34.62,-86.97,-0.7815
34.62,-86.98,-0.8571
34.6,-86.97,-0.9413
33.43,-85.7,-0.5422
32.52,-87.85,-0.3172
32.52,-87.83,-0.3312
31.23,-85.43,-0.5162
34.15,-87.42,-0.5326
31.42,-86.07,0.225
33.25,-87.8,0.1778
31.33,-85.88,0.2087
31.88,-85.13,0.4641
32,-85.08,-0.247
32.78,-87.83,-0.4201
31.43,-86.97,-0.6571
31.42,-87.03,-0.6052
30.55,-87.88,0.195
31.1,-86.55,0.0283
34.37,-86.92,-1.1277
34.07,-87.33,-0.6529
33.68,-87.83,-0.6063
34.77,-85.68,-1.0788
34.82,-87.68,-1.191
34.78,-87.67,-1.2586
31.98,-86.58,-0.5064
30.23,-88.02,0.3532
34.43,-85.72,0.1241
31.43,-87.4,0.1741
34.02,-86,0.1564
32.83,-88.13,-0.9839
34.02,-86.75,-0.2366
31.03,-85.85,0.116
31.65,-86.73,-0.2388
31.88,-88.33,-0.4521
33.07,-86.05,-0.8129
33.65,-87.2,-0.1422
32.7,-87.58,-0.8343
31.83,-86.63,-0.4534
30.27,-87.67,0.0858
34.35,-86.28,-0.2758
34.37,-86.28,-0.4748
34.43,-86.4,-0.7675
34.23,-87.62,-0.5672
34.13,-87.98,-1.0071
34.1,-87.98,-0.5539
32.8,-87.18,-0.7498
32.18,-86.58,-0.6775
31.35,-85.33,-0.3621
33.65,-85.6,-0.7344
33.3,-86.85,0.0054
31.95,-86.32,-0.4629
33.53,-85.4,-0.593
34.33,-87.93,-0.7322
33.25,-87.45,-0.2929
34.72,-86.58,-0.4371
34.7,-86.58,-0.1754
34.82,-86.12,1.0029
31.55,-88.02,-0.3362
31.52,-87.88,-0.2005
33.53,-86.2,0.0308
33.82,-85.75,-1.2298
33.9,-87.27,-0.4017
32.32,-86.78,-0.5627
32.62,-86.25,-0.91
31.23,-86.18,0.3884
32.9,-85.4,-1.1673
32.97,-86.52,-0.3213
33.55,-86.55,0.1587
34.18,-85.77,-0.7438
32.58,-88.18,0.5854
31.02,-86.37,0.3221
32.13,-88.03,-0.8929
32.28,-88.02,-0.7586
33.63,-86.18,-0.0467
33.43,-86.33,-0.4053
31.8,-85.55,0.0774
34.7,-86.75,-0.2848
33.5,-86.85,0.0498
32.62,-87.3,-0.421
32.68,-87.27,-0.5949
32.43,-87.23,-0.357
32.47,-87.22,-0.3982
32.67,-85.92,-0.9155
32.27,-86,-0.6913
32.38,-86.35,-0.495
31.93,-88.45,-0.1649
32.88,-87.33,0.0947
32.1,-87.37,-0.2244
32.1,-87.42,-0.2507
33.57,-88.05,-0.4683
32.45,-85.9,-0.6425
32.1,-87.07,-0.3949
32.8,-86.45,-0.9152
30.68,-88.23,0.5687
30.7,-88.03,0.1526
34.75,-86.52,-0.0878
33.1,-86.87,-0.509
32.3,-86.4,-0.5471
34.48,-87.28,-1.347
34.48,-87.3,-1.3208
33,-87.63,-0.3165
34.75,-87.62,-1.4564
31.72,-87.27,-0.1015
34.48,-87.58,-0.9557
34.9,-86.43,-0.6447
34.92,-86.43,-0.4644
31.33,-85.62,-0.485
33.37,-86.7,-0.0396
33.95,-86.48,-0.0441
32.63,-85.38,-0.9459
32.3,-87.23,-0.4823
31.47,-85.65,-0.1091
34.67,-86.33,-0.2818
33.77,-86.67,0.4297
33.6,-86.25,-0.2115
32.23,-88.02,-0.0774
32.62,-87.13,-0.9512
32.5,-85.02,0.3843
33.22,-88.27,-0.3985
31.88,-87,-0.3261
31.98,-87.6,0.3557
32.07,-86.07,-0.2531
33.68,-86.7,0.4062
32.18,-85.17,-0.2412
32.65,-86.93,-0.7583
34.95,-85.92,0.1701
32.47,-86.47,-1.0118
32.3,-86.25,-0.7493
32.2,-88.35,0.0981
34.45,-88.15,-0.7874
34.58,-86.6,-0.5272
33.38,-88.02,-0.2133
31.37,-86.53,0.3846
30.55,-87.6,-0.5413
32.88,-86.22,-0.7268
33.15,-85.3,0.0708
34.5,-87.73,-0.934
34.17,-86.82,-0.2246
34.28,-85.97,-0.4329
33.72,-86.97,0.4502
34.68,-86.05,0.801
34.68,-86.02,0.9111
32.3,-85.28,-0.3677
32.42,-87,-0.5664
34.85,-87.2,-1.0952
31.05,-85.6,0.4371
32,-87.02,-0.2448
34.4,-86.03,-0.2018
30.7,-88.17,0.6063
33.9,-88.13,-0.6655
32.53,-87.18,-0.6354
34.88,-86.22,0.1177
33.17,-86.28,-0.4858
33.2,-86.2,-0.4671
34.57,-85.82,0.2
33.43,-86.1,-0.4426
33.3,-86.07,-0.4777
31.92,-87.73,0.2818
32.88,-86.7,-0.5845
32.53,-85.9,-1.2421
34.9,-86.73,-0.3121
33.82,-86.73,0.1391
31.78,-85.95,0.4809
33.23,-87.62,-0.2968
33.22,-87.58,-0.0707
32.43,-85.7,-0.7913
32.02,-85.75,0.3857
32.45,-87.52,-0.1252
33.2,-87.55,-0.1231
34.57,-85.62,0.2462
33.17,-87.22,-0.0566
33.75,-88.12,-0.7634
33.13,-85.57,-0.5108
31.2,-87.23,0.6691
34.07,-86.32,0.4324
34.92,-88.07,-1.2036
34.13,-85.8,-0.5705
33.12,-87.12,-0.4148
32.53,-86.2,-1.0867
31.65,-87.72,-0.4027
34.78,-87.35,-1.0864
34.88,-85.75,-0.0362
34.8,-87.62,-1.205
33.92,-87.83,-0.5012
32.57,-85.9,-1.1986
34.95,-87.9,-1.0618
33.95,-113.18,-0.9895
32.37,-112.87,-0.8451
32.45,-112.83,-0.8343
34.27,-113.57,-1.0242
33.5,-110.85,-1.3736
34.23,-113.58,-1.0031
33.5,-112.12,-0.9556
33.85,-109.13,-1.2575
31.72,-111.07,-1.0834
31.97,-111.38,-1.0875
31.72,-109.23,-0.9878
33.42,-111.57,-1.0756
31.9,-110.25,-1.0613
31.58,-111.32,-1.0382
33.5,-111.98,-0.9762
32.25,-111.17,-1.1458
33.97,-111.87,-1.2323
35.22,-112.48,-0.9132
33.1,-111.25,-1.1796
34.6,-113.2,-0.3252
34.58,-113.17,-1.3025
34.65,-113.08,-0.9751
34.03,-111.37,-1.4622
33.82,-111.63,-1.2162
31.93,-110.77,-1.133
33.67,-112.38,-0.9691
31.42,-111.18,-1.0378
34.67,-111.72,-1.5963
36.9,-113.93,-0.2163
33.68,-109.22,-1.105
31.97,-110.28,-1.0741
36.68,-110.53,-0.5263
31.45,-109.92,-0.5862
31.42,-109.88,-0.9873
33.48,-109.77,-1.1252
33.62,-109.1,-1.5742
34.62,-111.18,-0.4953
32.57,-110.2,-1.1437
33.95,-114.02,-0.7895
32.33,-109.48,-1.0544
36.2,-112.07,-0.5841
33.38,-112.58,-0.2932
35.12,-114.6,-0.9165
34.2,-112.15,-1.3241
35.27,-111.53,-0.9013
35.87,-111.42,-1.3935
34.8,-112.87,-1.0217
31.55,-110.52,-1.0679
36.15,-109.53,0.4977
33.82,-111.9,-1.1153
33.85,-112.27,-1.061
32.88,-111.75,-1.014
33,-111.53,-1.0594
32.3,-110.38,-1.1409
33.98,-112.37,-1.1424
33.73,-112.05,-1.0287
34.97,-112.38,-1.5653
36.38,-111.53,-1.4721
33.3,-111.83,-0.9813
33.22,-111.68,-1.0147
34.53,-110.92,-0.847
34.35,-111.7,-1.1245
34.77,-112.45,-0.8174
32,-109.35,-1.0263
34.05,-110.45,-1.2857
34.38,-110.32,-1.0015
33.05,-109.28,-1.235
37,-112.98,-0.0286
36.63,-111.42,0.0125
34.3,-112.17,-1.3761
31.35,-110.25,-1.0292
32.33,-111.12,-1.1582
34.73,-112.03,-1.1342
34.2,-112.33,-1.0029
32.8,-113.53,-0.635
32.98,-113.5,-0.645
35.2,-114.57,-0.9419
33.58,-112.13,-0.9684
36.85,-109.85,-0.9871
32.17,-109.6,-1.0543
31.35,-109.53,-0.9619
